Wall Time, R_N_tot_ge_63, R_N_tot_le_66, R_N_b_eq_0, R_N_b_ge_1, R_N_b_ge_2, R_N_b_ge_3, Hd_x_ge_0, Hd_x_lt_0, Hd_y_ge_0, Hd_y_lt_0, FG_x_N_ge_0, FG_x_N_lt_0, FG_y_N_ge_0, FG_y_N_lt_0, abs_p_gt_theta, abs_q_gt_theta, abs_r_gt_theta, abs_R_FG_x_gt_theta, abs_R_FG_y_gt_theta, abs_R_FG_z_gt_theta, R_N_tot_eq_64
1346770382,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770383,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770384,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770385,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770386,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770387,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770388,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770389,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770390,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770391,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770392,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770393,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770394,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770395,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770396,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770397,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770398,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770399,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770400,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770401,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770402,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770403,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770404,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770405,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770406,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770407,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770408,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770409,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770410,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770411,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770412,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770413,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770414,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770415,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770416,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770417,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770418,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770419,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770420,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770421,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770422,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770423,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770424,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770425,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770426,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770427,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770428,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770429,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770430,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770431,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770432,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770433,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770434,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770435,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770436,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770437,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770438,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770439,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770440,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770441,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770442,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770443,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770444,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770445,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770446,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770447,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770448,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770449,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770450,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770451,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770452,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770453,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770454,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770455,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770456,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770457,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770458,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770459,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770460,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770461,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770462,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770463,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770464,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770465,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770466,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770467,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770468,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770469,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770470,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770471,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770472,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770473,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770474,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770475,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770476,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770477,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770478,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770479,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770480,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770481,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770482,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770483,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770484,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770485,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770486,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770487,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770488,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770489,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770490,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770491,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770492,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770493,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770494,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770495,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770496,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770497,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770498,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770499,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770500,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770501,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770502,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770503,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770504,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
