best-d,best,base+g,base
305,233,440,545
305,233,440,545
305,233,442,545
305,233,442,547
305,233,442,547
305,233,442,547
305,233,442,547
305,233,442,547
305,233,442,547
305,233,442,547
305,233,443,548
305,233,443,548
306,233,443,548
306,233,443,548
306,233,443,548
306,233,443,548
306,233,443,548
306,233,443,549
306,233,443,549
306,233,443,549
306,233,444,549
306,233,444,549
306,233,444,549
306,233,444,549
306,233,444,551
306,233,444,551
306,233,444,551
306,233,444,551
306,233,446,551
306,233,446,552
306,233,446,552
306,233,446,552
306,233,446,552
306,233,446,552
306,233,446,552
306,233,446,552
306,233,446,552
306,233,446,553
306,233,446,553
306,233,446,553
306,233,448,553
306,233,448,553
306,233,448,553
306,233,448,554
306,233,448,554
306,233,448,554
306,233,448,554
306,233,448,554
306,233,449,554
306,233,449,554
306,233,449,554
306,233,449,555
306,233,449,555
306,233,449,555
306,233,449,555
306,233,449,555
306,233,449,555
306,233,449,557
306,233,449,557
306,233,449,557
306,233,450,557
306,233,450,557
306,236,450,558
306,236,450,558
306,236,450,558
306,236,450,558
306,236,450,558
306,236,452,558
306,237,452,558
306,237,452,558
306,237,452,559
306,237,452,559
308,237,452,559
308,237,452,559
308,237,452,559
308,237,452,559
308,237,452,561
308,237,452,561
308,237,453,561
308,237,453,561
308,237,453,561
308,237,453,562
308,237,453,562
308,237,453,562
308,237,453,562
309,237,453,562
309,237,453,562
309,237,453,562
309,237,453,562
309,237,453,563
309,237,454,563
309,237,454,563
309,237,454,563
309,237,454,563
309,237,454,563
309,237,454,564
309,237,454,564
309,237,454,564
309,237,454,564
309,237,454,564
309,237,455,564
309,237,455,564
309,237,455,565
309,237,455,565
309,237,455,565
309,237,455,565
309,237,455,565
309,237,455,565
309,237,455,567
309,237,455,567
309,237,456,567
309,237,456,567
309,237,456,567
309,237,456,568
309,237,456,568
309,237,456,568
309,237,456,568
309,237,456,568
309,237,456,568
309,237,456,568
309,237,456,569
309,237,456,569
309,237,457,569
309,237,457,569
309,237,457,569
309,237,457,569
309,237,457,571
309,237,457,571
309,237,457,571
309,237,457,571
309,237,457,571
309,239,457,572
309,239,458,572
311,239,458,572
311,239,458,572
311,239,458,572
311,239,458,572
311,239,458,572
311,239,458,573
311,239,458,573
311,239,458,573
311,239,458,573
311,239,459,573
311,239,459,573
311,239,459,575
311,239,459,575
311,239,459,575
312,239,459,575
312,239,459,575
312,239,459,576
312,239,459,576
312,239,459,576
312,239,459,576
312,239,459,576
312,239,460,576
312,239,460,576
312,239,460,576
312,239,460,576
312,239,460,576
312,239,460,577
312,239,460,577
312,239,460,577
312,239,460,577
312,239,460,577
312,239,461,577
312,239,461,577
312,239,461,577
312,239,461,577
312,239,461,577
312,239,461,579
312,239,461,579
312,239,461,579
312,239,461,579
312,239,461,579
312,239,462,579
312,239,462,581
312,239,462,581
312,239,462,581
312,239,462,581
312,239,462,581
312,239,462,581
312,239,462,583
312,239,462,583
312,239,462,583
312,239,463,583
312,239,463,583
312,239,463,583
312,239,463,584
312,239,463,584
312,239,463,584
312,239,463,584
312,239,463,584
312,239,463,584
312,239,464,585
312,239,464,585
312,239,464,585
312,239,464,585
312,242,464,585
312,242,464,585
312,242,464,585
314,242,464,587
314,242,464,587
314,242,464,587
314,242,464,587
314,242,464,587
314,242,464,588
314,242,465,588
314,242,465,588
314,242,465,588
314,242,465,588
314,242,465,588
314,242,465,588
315,242,465,589
315,242,465,589
315,242,465,589
315,242,465,589
315,242,465,589
315,242,465,589
315,242,465,589
315,242,465,589
315,242,465,591
315,242,465,591
315,242,466,591
315,242,466,591
315,242,466,591
315,242,466,591
315,242,466,592
315,242,466,592
315,242,466,592
315,242,466,592
315,242,466,592
315,242,466,592
315,242,468,592
315,242,468,592
315,242,468,592
315,242,468,593
315,242,468,593
315,242,468,593
315,242,469,593
315,242,469,593
315,242,469,593
315,242,469,593
315,242,469,595
315,242,469,595
315,242,469,595
315,242,469,595
315,242,469,595
315,242,469,595
315,242,470,595
315,242,470,596
315,242,470,596
315,242,470,596
315,242,470,596
315,242,470,596
315,242,470,596
315,242,470,596
315,242,470,596
315,242,470,596
315,242,472,596
315,242,472,596
315,245,472,597
315,245,472,597
315,245,472,597
315,245,472,597
315,245,472,597
315,245,472,597
315,245,473,597
315,245,473,597
315,245,473,597
317,245,473,597
317,245,473,597
317,245,473,598
317,245,473,598
317,245,473,598
317,245,473,598
317,245,473,598
317,245,474,598
317,245,474,598
317,245,474,598
317,245,474,598
317,245,474,598
318,245,474,598
318,245,474,598
318,245,474,599
318,245,474,599
318,245,474,599
318,245,475,599
318,245,475,599
318,245,475,599
318,245,475,599
318,245,475,599
318,245,475,599
318,245,475,599
318,245,475,600
318,245,475,600
318,245,475,600
318,245,476,600
318,245,476,600
318,245,476,600
318,245,476,600
318,245,476,600
